
Image Name                           PID   Session Name     Session#    Mem Usage
===================      ===============   ==============  ==========  ==========
runtimebroker.exe                  14272   Console                 1     13752 KB
smartscreen.exe                    13824   Console                 1     23420 KB
msedge.exe                         13784   Console                 1     18700 KB
cmd.exe                            13328   Console                 1      4524 KB
phoneexperiencehost.exe            13288   Console                 1    145876 KB
cpptools.exe                       13256   Console                 1     36060 KB
video.ui.exe                       13140   Console                 1      2672 KB
code.exe                           12128   Console                 1     99504 KB
svchost.exe                        11920   Services                0      7572 KB
svchost.exe                        11916   Services                0     18412 KB
conhost.exe                        11868   Console                 1     11080 KB
a.exe                              11856   Console                 1      5052 KB
code.exe                           11396   Console                 1     76456 KB
wmiprvse.exe                       11360   Services                0     15780 KB
esrv_svc.exe                       11164   Services                0     53508 KB
cpptools-srv.exe                   11080   Console                 1     56564 KB
shellexperiencehost.exe            11024   Console                 1     61728 KB
svchost.exe                        10884   Services                0     11040 KB
googlecrashhandler64.exe           10824   Services                0        96 KB
svchost.exe                        10448   Services                0      5868 KB
comppkgsrv.exe                     10444   Console                 1      9000 KB
notepad.exe                        10384   Console                 1     17860 KB
svchost.exe                        10360   Services                0     10632 KB
powershell.exe                     10272   Console                 1     69692 KB
esrv.exe                           10164   Console                 1     39096 KB
steamwebhelper.exe                 10136   Console                 1    145368 KB
cncmd.exe                          10104   Console                 1      6064 KB
steamwebhelper.exe                 10004   Console                 1     92552 KB
svchost.exe                         9976   Services                0     16532 KB
wmiprvse.exe                        9768   Services                0     13388 KB
code.exe                            9744   Console                 1     28112 KB
gamebarftserver.exe                 9740   Console                 1     14740 KB
conhost.exe                         9732   Console                 1     10936 KB
epicwebhelper.exe                   9356   Console                 1     37776 KB
svchost.exe                         9336   Services                0     23628 KB
googlecrashhandler.exe              9256   Services                0       168 KB
steam.exe                           8960   Console                 1     71228 KB
dllhost.exe                         8892   Console                 1     11536 KB
epicgameslauncher.exe               8884   Console                 1    102604 KB
epicwebhelper.exe                   8840   Console                 1     30768 KB
cpptools.exe                        8836   Console                 1      3876 KB
radeonsoftware.exe                  8816   Console                 1     54592 KB
runtimebroker.exe                   8756   Console                 1     23752 KB
steamservice.exe                    8748   Services                0     15000 KB
rtkngui64.exe                       8664   Console                 1     17884 KB
securityhealthservice.exe           8656   Services                0     15364 KB
securityhealthsystray.exe           8620   Console                 1      9308 KB
whatsapp.exe                        8592   Console                 1    103516 KB
runtimebroker.exe                   8468   Console                 1     19096 KB
runtimebroker.exe                   8444   Console                 1     23552 KB
code.exe                            8412   Console                 1     82652 KB
