
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      5,408 K
Registry                       100 Services                   0     19,884 K
smss.exe                       452 Services                   0      1,128 K
csrss.exe                      716 Services                   0      5,764 K
csrss.exe                      836 Console                    1      6,212 K
wininit.exe                    856 Services                   0      7,156 K
services.exe                   908 Services                   0     14,364 K
winlogon.exe                   944 Console                    1     12,312 K
lsass.exe                     1004 Services                   0     21,856 K
svchost.exe                    828 Services                   0     34,252 K
WUDFHost.exe                   700 Services                   0     18,132 K
fontdrvhost.exe               1028 Console                    1     14,092 K
fontdrvhost.exe               1032 Services                   0      3,900 K
svchost.exe                   1140 Services                   0     15,896 K
svchost.exe                   1208 Services                   0      8,904 K
dwm.exe                       1284 Console                    1     80,748 K
svchost.exe                   1404 Services                   0      6,220 K
svchost.exe                   1480 Services                   0     10,708 K
svchost.exe                   1488 Services                   0     12,200 K
svchost.exe                   1568 Services                   0     15,892 K
svchost.exe                   1584 Services                   0     14,112 K
svchost.exe                   1612 Services                   0     11,920 K
svchost.exe                   1636 Services                   0      9,092 K
svchost.exe                   1680 Services                   0     19,568 K
svchost.exe                   1852 Services                   0     10,164 K
svchost.exe                   1904 Services                   0      7,328 K
svchost.exe                   2000 Services                   0      9,904 K
amdfendrsr.exe                2064 Services                   0      7,996 K
atiesrxx.exe                  2072 Services                   0      6,452 K
svchost.exe                   2080 Services                   0      7,988 K
svchost.exe                   2332 Services                   0     12,700 K
svchost.exe                   2360 Services                   0      8,464 K
svchost.exe                   2472 Services                   0     10,696 K
svchost.exe                   2580 Services                   0     12,044 K
svchost.exe                   2588 Services                   0     17,920 K
WUDFHost.exe                  2676 Services                   0      7,452 K
svchost.exe                   2696 Services                   0      7,900 K
atieclxx.exe                  2708 Console                    1     12,396 K
svchost.exe                   2728 Services                   0    118,360 K
svchost.exe                   2764 Services                   0      5,952 K
svchost.exe                   2848 Services                   0      8,508 K
Memory Compression            2876 Services                   0     38,352 K
igfxCUIService.exe            2924 Services                   0      9,888 K
svchost.exe                   2988 Services                   0      8,364 K
svchost.exe                   2996 Services                   0      7,388 K
svchost.exe                   2316 Services                   0     23,528 K
svchost.exe                   3064 Services                   0     14,492 K
RtkAudioService64.exe         3140 Services                   0      9,460 K
RAVBg64.exe                   3192 Console                    1     16,096 K
svchost.exe                   3332 Services                   0      9,200 K
svchost.exe                   3340 Services                   0      6,948 K
svchost.exe                   3348 Services                   0     10,248 K
svchost.exe                   3484 Services                   0      7,636 K
svchost.exe                   3560 Services                   0     19,508 K
svchost.exe                   3664 Services                   0     14,556 K
spoolsv.exe                   3784 Services                   0     15,344 K
svchost.exe                   3856 Services                   0     20,332 K
svchost.exe                   4084 Services                   0      8,300 K
svchost.exe                   3804 Services                   0      6,564 K
esif_uf.exe                   3932 Services                   0      7,660 K
svchost.exe                   3940 Services                   0     45,716 K
gameinputsvc.exe              3948 Services                   0      5,508 K
svchost.exe                   3960 Services                   0     39,256 K
DSAService.exe                3968 Services                   0     79,652 K
svchost.exe                   3988 Services                   0     14,032 K
RtkBtManServ.exe              3580 Services                   0      7,004 K
SynTPEnhService.exe           3824 Services                   0      5,436 K
XtuService.exe                3792 Services                   0     59,620 K
svchost.exe                   4104 Services                   0      6,912 K
svchost.exe                   4112 Services                   0      5,784 K
svchost.exe                   4120 Services                   0     20,548 K
dasHost.exe                   4136 Services                   0     12,576 K
svchost.exe                   4144 Services                   0      8,852 K
SurSvc.exe                    4172 Services                   0    139,144 K
svchost.exe                   4180 Services                   0     10,964 K
MsMpEng.exe                   4260 Services                   0    286,068 K
gameinputsvc.exe              4372 Console                    1     17,184 K
svchost.exe                   4396 Services                   0      5,604 K
svchost.exe                   4448 Services                   0      7,692 K
svchost.exe                   4784 Services                   0      9,324 K
svchost.exe                   4816 Services                   0      7,816 K
svchost.exe                   4852 Services                   0     13,912 K
svchost.exe                   4832 Services                   0     29,456 K
gamingservicesnet.exe         5252 Services                   0      5,436 K
gamingservices.exe            5260 Services                   0     32,948 K
